,order_id,customer_name,gender,age,city,order_date,product,quantity,price,total_sales
count,6.0,6,6,6.0,6,6,6,6.0,6.0,6.0
unique,,6,2,,5,,4,,,
top,,Ali Khan,male,,Delhi,,Laptop,,,
freq,,1,3,,2,,2,,,
mean,1005.8333333333334,,,27.5,,2024-01-18 04:00:00,,1.6666666666666667,27333.333333333332,31666.666666666668
min,1001.0,,,22.0,,2024-01-15 00:00:00,,1.0,2000.0,4000.0
25%,1004.25,,,25.25,,2024-01-17 06:00:00,,1.0,6500.0,12000.0
50%,1005.5,,,27.0,,2024-01-18 00:00:00,,1.5,25000.0,35000.0
75%,1006.75,,,28.75,,2024-01-18 18:00:00,,2.0,48750.0,51250.0
max,1012.0,,,35.0,,2024-01-22 00:00:00,,3.0,55000.0,55000.0
std,3.65604522218567,,,4.415880433163924,,,,0.816496580927726,23980.547672367007,22739.099952871195
